code,level1,level2,level3,latitude,longitude
1168073000,서울특별시,강남구,일원1동,37.4890583,127.0901306
1168075000,서울특별시,강남구,수서동,37.4860278,127.1070000
1171000000,서울특별시,송파구,,37.5117556,127.1079306
1171051000,서울특별시,송파구,풍납1동,37.5352472,127.1242444
1171052000,서울특별시,송파구,풍납2동,37.5259500,127.1188639
1171053100,서울특별시,송파구,거여1동,37.4941083,127.1454083
1171053200,서울특별시,송파구,거여2동,37.4906861,127.1490000
1171054000,서울특별시,송파구,마천1동,37.4932222,127.1520889
1171055000,서울특별시,송파구,마천2동,37.4940750,127.1506778
1171056100,서울특별시,송파구,방이1동,37.5081472,127.1260111
1171056200,서울특별시,송파구,방이2동,37.5117556,127.1165333
1171056600,서울특별시,송파구,오륜동,37.5125889,127.1365000
1171057000,서울특별시,송파구,오금동,37.5001500,127.1302444
1171058000,서울특별시,송파구,송파1동,37.5031306,127.1118194
1171059000,서울특별시,송파구,송파2동,37.4994361,127.1189111
1171060000,서울특별시,송파구,석촌동,37.5007750,127.1057528
1171061000,서울특별시,송파구,삼전동,37.4999778,127.0946417
1171062000,서울특별시,송파구,가락본동,37.4927722,127.1239111
1171063100,서울특별시,송파구,가락1동,37.4937500,127.1076861
1171063200,서울특별시,송파구,가락2동,37.4958444,127.1286417
1171064100,서울특별시,송파구,문정1동,37.4871917,127.1262000
1171064200,서울특별시,송파구,문정2동,37.4870528,127.1130639
1171064600,서울특별시,송파구,장지동,37.4841361,127.1345333
1171064700,서울특별시,송파구,위례동,37.4791657,127.1414918
1171065000,서울특별시,송파구,잠실본동,37.5033556,127.0864194
1171067000,서울특별시,송파구,잠실2동,37.5119139,127.0899750
